manufacturer_id,seller_id,name,price,winter,truck,brand
16290, ,255/70 R16 Crosswind H/T (Linglong),"1,740.00",1,0,Ling Long
16303, ,155/70 R13 Winter Max HP (Linglong),585.00,1,0,Ling Long
16304, ,165/70 R13 Winter Max HP (Linglong),650.00,1,0,Ling Long
16305, ,165/70 R14 Winter Max HP (Linglong),700.00,1,0,Ling Long
16306, ,175/65 R14 Winter Max HP (Linglong),730.00,1,0,Ling Long
16307, ,175/65 R15 R650 (Linglong),790.00,1,0,Ling Long
16308, ,175/65 R15 Winter Max HP (Linglong),795.00,1,0,Ling Long
16309, ,175/70 R13 Winter Max HP (Linglong),660.00,1,0,Ling Long
16310, ,175/70 R14 Winter Max HP (Linglong),740.00,1,0,Ling Long
16311, ,175/75 R16C Winter Max Van (Linglong),"1,290.00",1,0,Ling Long
16312, ,185/60 R14 Winter Max HP (Linglong),720.00,1,0,Ling Long
16313, ,185/60 R15 Winter Max HP (Linglong),830.00,1,0,Ling Long
16314, ,185/65 R14 Winter Max HP (Linglong),770.00,1,0,Ling Long
16315, ,185/65 R15 Winter Max Grip (Linglong) (под шипы),890.00,1,0,Ling Long
16316, ,185/65 R15 Winter Max HP (Linglong),850.00,1,0,Ling Long
16317, ,185/70 R14 XL Winter Max Grip (Linglong) (под шипы),890.00,1,0,Ling Long
16318, ,185/75 R16C Winter Max Van (Linglong),"1,340.00",1,0,Ling Long
16319, ,185 R14C Winter Max Van (Linglong),"1,040.00",1,0,Ling Long
16320, ,195/55 R15 R650 (Linglong),890.00,1,0,Ling Long
16321, ,195/55 R15 Winter Max UPH (Linglong),890.00,1,0,Ling Long
16322, ,195/55 R16 XL Winter Max UPH (Linglong),990.00,1,0,Ling Long
16323, ,195/60 R15 Winter Max HP (Linglong),900.00,1,0,Ling Long
16324, ,195/60 R15 XL Winter Max Grip (Linglong) (под шипы),960.00,1,0,Ling Long
16325, ,195/65 R15 Winter Max HP (Linglong),890.00,1,0,Ling Long
16326, ,195/65 R15 XL Winter Max Grip (Linglong) (под шипы),970.00,1,0,Ling Long
16327, ,195/70 R15C Winter Max Van (Linglong),"1,220.00",1,0,Ling Long
16328, ,195/75 R16C Winter Max Van (Linglong),"1,490.00",1,0,Ling Long
16329, ,195 R14C Winter Max Van (Linglong),"1,140.00",1,0,Ling Long
16330, ,205/55 R16 Winter Max HP (Linglong),"1,090.00",1,0,Ling Long
16331, ,205/55 R16 XL Winter Max Grip (Linglong) (под шипы),"1,160.00",1,0,Ling Long
16333, ,205/65 R15 Winter Max HP (Linglong),970.00,1,0,Ling Long
16334, ,205/65 R15 XL Winter Max Grip (Linglong) (под шипы),"1,150.00",1,0,Ling Long
16335, ,205/70 R15 Winter Max HP (Linglong),"1,180.00",1,0,Ling Long
16336, ,205/75 R16C Winter Max Van (Linglong),"1,590.00",1,0,Ling Long
16337, ,215/55 R16 Winter Max HP (Linglong),"1,220.00",1,0,Ling Long
16338, ,215/50 R17 XL Winter Max UPH (Linglong),"1,410.00",1,0,Ling Long
16341, ,215/55 R16 XL Winter Max Grip (Linglong) (под шипы),"1,320.00",1,0,Ling Long
16339, ,215/60 R16 Winter Max HP (Linglong),"1,290.00",1,0,Ling Long
16340, ,215/65 R16 Winter Max HP (Linglong),"1,320.00",1,0,Ling Long
16347, ,225/55 R17 Winter Max Grip (Linglong) (под шипы),"1,540.00",1,0,Ling Long
16348, ,225/55 R17 XL Winter Max UPH (Linglong),"1,470.00",1,0,Ling Long
16349, ,225/55 R18 Winter Max Grip (под шипы),"1,620.00",1,0,Ling Long
16350, ,225/60 R16 XL Winter Max UPH (Linglong),"1,380.00",1,0,Ling Long
16351, ,225/65 R17 XL Winter Max Grip (под шипы),"1,580.00",1,0,Ling Long
16352, ,225/65 R16C Winter Max Van (Linglong),"1,630.00",1,0,Ling Long
16353, ,225/70 R15C Winter Max Van (Linglong),"1,580.00",1,0,Ling Long
16354, ,225/75 R16C Winter Max Van (Linglong),"1,620.00",1,0,Ling Long
16355, ,235/45 R18 XL Winter Max UPH (Linglong),"1,530.00",1,0,Ling Long
16356, ,235/55 R17 XL Winter Max UPH (Linglong),"1,560.00",1,0,Ling Long
16357, ,235/60 R17 XL Winter Max Grip (под шипы),"1,650.00",1,0,Ling Long
16358, ,235/65 R17 XL Winter Max Grip (под шипы),"1,660.00",1,0,Ling Long
16359, ,235/65 R16C Winter Max Van (Linglong),"1,750.00",1,0,Ling Long
16388, ,185/65 R14 XL Winter Max Grip (Linglong) (под шипы),870.00,1,0,Ling Long
16389, ,245/40 R18 XL Winter Max UPH (Linglong),"1,540.00",1,0,Ling Long
16398, ,255/55 R18 XL Winter Max Grip (под шипы),"2,080.00",1,0,
16362, ,275/45 R20 XL Winter Max Grip (под шипы),"2,360.00",1,0,
16363, ,275/55 R20 XL Winter Max Grip (под шипы),"2,540.00",1,0,
16364, ,275/60 R18 XL Winter Max Grip (под шипы),"2,360.00",1,0,
16402, ,215/70 R16 TR777 (Triangle),"1,390.00",1,0,Triangle
16365, ,265/70 R17 TR787 (Triangle),"2,820.00",1,0,Triangle
16366, ,175/65 R14 Winter Max Grip (Linglong) (под шипы),770.00,1,0,Ling Long
16367, ,205/60 R15 XL R650 (Linglong),"1,030.00",1,0,Ling Long
16368, ,235/85 R16 Crosswind H/T (Linglong),"2,170.00",1,0,Ling Long
ШГТ-042, ,185/65 R14 LMA7 (Linglong),730.00,1,0,Ling Long
16390, ,195 R14C Bel-78,860.00,1,0,
16391, ,195/70 R15C Bel-171,860.00,1,0,
16392, ,175/65 R14 Bel-227,560.00,1,0,
16395, ,205/55 R16 Bel-207,840.00,1,0,
16393, ,195/65 R15 Bel-119,730.00,1,0,
16394, ,205/70 R15C Bel-143,830.00,1,0,
16396, ,205/70 R15 Bel-121,840.00,1,0,
16397, ,185/70 R14 Bel-97,590.00,1,0,
16399, ,175/70 R13 Bel-188,580.00,1,0,
16400, ,185/65 R15 Bel-287,670.00,1,0,
16403, ,195/65 R15 Bel-247,800.00,1,0,
ШГТ-001,Прицепная,435/50 R19.5 PR20 T820 (Linglong),"6,100.00",0,0,Ling Long
ШГТ-006,Передняя ось,315/80 R22.5 PR18 FE805 (LingLong),"4,870.00",0,0,Ling Long
ШГТ-009,Прицепная,445/65 R22.5 PR20 LA38 (Linglong),"7,950.00",0,0,Ling Long
ШГТ-010,Прицепная/передняя ось,245/70 R19.5 PR16 F820 (Linglong),"2,950.00",0,0,Ling Long
ШГТ-011,Прицепная,445/45 R19.5 PR20 T820 (Linglong),"6,100.00",0,0,Ling Long
ШГТ-012,Передняя ось,315/70 R22.5 PR16 F805 (Linglong),"4,480.00",0,0,Ling Long
ШГТ-013,Задняя ось,235/75 R17.5 PR18 D905 (Linglong),"2,680.00",0,0,Ling Long
ШГТ-014,Задняя ось,215/75 R17.5 PR16 D905 (Linglong),"2,450.00",0,0,Ling Long
ШГТ-015,Задняя ось,295/80 R22.5 PR16 D905 (Linglong),"4,380.00",0,0,Ling Long
