manufacturer_id,seller_id,name,price,winter,truck,brand,category_id
990506,4836359,Замок зажигания Eurotech,"1,710.00",,1,EMMERE,5
980014,41001890,Пружина кабины Eurotech,"1,705.00",,1,EMMERE,5
960705,93161976,К/т фиксаторов суппорта Eurocargo,495.00,,1,EMMERE,5
980011,41019147,Пружина кабины Eurotech,"1,705.00",,1,EMMERE,5
905909,61597791,Хомут гофры 77мм Eurotech,248.00,,1,EMMERE,5
100960,98413847,Сайленблок рессоры Eurocargo 16x47x74,289.00,,1,EMMERE,5
101056,98473621,Воздухозаборник Eurotech,"1,298.00",,1,EMMERE,5
960712,42530520,Поршень суппорта Eurocargo,"2,560.00",,1,EMMERE,5
960711,42530519,Поршень суппорта Eurocargo,"1,015.00",,1,EMMERE,5
905527,61319208,Прокладка выхлопного коллектора Eurotech,119.00,,1,EMMERE,5
905517,1319208,Прокладка выхлопного коллектора Eurotech,78.00,,1,EMMERE,5
900512,8162322,Гофра Eurotech,"1,535.00",,1,EMMERE,5
960704,93161756,К/т болтов суппорта Eurocargo,232.00,,1,EMMERE,5
960706,93161977,Р/к поршня суппорта Eurocargo,"1,252.00",,1,EMMERE,5
960847,93161757,К/т креплений суппорта Eurocargo,232.00,,1,EMMERE,5
960707,93162050,К/т пыльников суппорта IVECO,"1,082.00",,1,EMMERE,5
960709,42541413,К/т пыльников суппорта IVECO,"1,139.00",,1,EMMERE,5
963025,7980408,К/т пыльников тормозного цилиндра Iveco,515.00,,1,EMMERE,5
963541,42531677,Пыльник тормозного цилиндра IVECO,103.00,,1,EMMERE,5
960708,42538002,Р/к тормозного суппорта Iveco,"2,272.00",,1,EMMERE,5
960710,42541412,Р/к тормозного суппорта Iveco,"2,220.00",,1,EMMERE,5
963001,42491950,Р/к тормозного цилиндра Iveco (060.524),"1,947.00",,1,EMMERE,5
963022,7980405,Р/к тормозного цилиндра Iveco,969.00,,1,EMMERE,5
963023,7980406,Р/к тормозного цилиндра Iveco,969.00,,1,EMMERE,5
963024,7980407,Р/к тормозного цилиндра Iveco (060.527),799.00,,1,EMMERE,5
711935,93161621,Р/к тормозного цилиндра Iveco (963536),"1,314.00",,1,EMMERE,5
963547,93161353,Р/к тормозного цилиндра Iveco,799.00,,1,EMMERE,5
963017,42480062,Шток тормозной камеры Iveco,346.00,,1,EMMERE,5
960837,93162075,К/т пыльников суппорта Euro Cargo (D-60),402.00,,1,EMMERE,5
960843,93162043,К/т пыльников суппорта Euro Cargo,402.00,,1,EMMERE,5
